"youtube_id","published_at","updated_at","view_count","like_count","dislike_count","favourite_count","comment_count","duration","transcript","annotation"
"1w0_kazbb_U","","","","","","","","","","promoting"
"R9oqi6HteJg","","","","","","","","","","debunking"
"67ZKmVWB3tY","","","","","","","","","","promoting"
"zw0nYNMUIfA","","","","","","","","","","promoting"
"e20vaAtncsM","","","","","","","","","","debunking"
"_DA-g94Ro1I","","","","","","","","","","promoting"
"lS_DgMfAPYM","","","","","","","","","","promoting"
"j7-FmAfxMmQ","","","","","","","","","","promoting"
"xF_VYNtDgN8","","","","","","","","","","promoting"
"IUuu1YlkBlw","","","","","","","","","","promoting"
"IqATQtwOY34","","","","","","","","","","promoting"
"cTQ3Ko9ZKg8","","","","","","","","","","debunking"
"7kGnfXXIKZM","","","","","","","","","","promoting"
"eK0C5tFHze8","","","","","","","","","","debunking"
"xl6iR7w7a_Q","","","","","","","","","","debunking"
"yziiGH3lZ54","","","","","","","","","","debunking"
"Zdv06jXloD4","","","","","","","","","","promoting"
"aB8zcAttP1E","","","","","","","","","","promoting"
"GVAaPy7CMAM","","","","","","","","","","debunking"
"PNatkPqC0J0","","","","","","","","","","debunking"
"b6r6jdG-5kQ","","","","","","","","","","promoting"
"VB_GWz25B3Q","","","","","","","","","","debunking"
"Oviz_hrWcC8","","","","","","","","","","debunking"
"PwP8yoVmGo4","","","","","","","","","","debunking"
"t6rHHnABoT8","","","","","","","","","","debunking"
"GCHCi511sho","","","","","","","","","","debunking"
"GIooAx_GkJs","","","","","","","","","","debunking"
"mR5i0lI3xrw","","","","","","","","","","promoting"
"0MAShI0i7MA","","","","","","","","","","debunking"
"fg0c2x74mgU","","","","","","","","","","promoting"
"B1J2RMorJXM","","","","","","","","","","debunking"
"hUEZmrcx_lM","","","","","","","","","","debunking"
"uXZZbiC2Y9M","","","","","","","","","","debunking"
"5RT4qIO27uw","","","","","","","","","","promoting"
"7y1xJAVZxXg","","","","","","","","","","debunking"
"A0X3BaifKO4","","","","","","","","","","promoting"
"lEV5AFFcZ-s","","","","","","","","","","promoting"
"LnFc5ISF96I","","","","","","","","","","debunking"
"R5d7sCRgIyc","","","","","","","","","","promoting"
"fEKdGa8-I24","","","","","","","","","","promoting"
"dEhxxGfB0NE","","","","","","","","","","promoting"
"P0CnZlX0gXU","","","","","","","","","","promoting"
"5WdLV3YRMvw","","","","","","","","","","debunking"
"PUsIYF1PVBA","","","","","","","","","","promoting"
